t,event_type,source,leader_flash_time,follower_flash_time,timing_error_s
0.0,leader_flash,synthetic,0.0,,
0.5,leader_flash,synthetic,0.5,,
0.54,follower_flash,follower_oscillator,0.5,0.54,-0.04
1.0,leader_flash,synthetic,1.0,,
1.03,follower_flash,follower_oscillator,1.0,1.03,-0.03
1.5,leader_flash,synthetic,1.5,,
1.52,follower_flash,follower_oscillator,1.5,1.52,-0.02
2.0,leader_flash,synthetic,2.0,,
2.02,follower_flash,follower_oscillator,2.0,2.02,-0.02
2.5,leader_flash,synthetic,2.5,,
2.52,follower_flash,follower_oscillator,2.5,2.52,-0.02
2.52,sync_achieved,metrics,,,
3.0,leader_flash,synthetic,3.0,,
3.02,follower_flash,follower_oscillator,3.0,3.02,-0.02
3.5,leader_flash,synthetic,3.5,,
3.52,follower_flash,follower_oscillator,3.5,3.52,-0.02
4.0,leader_flash,synthetic,4.0,,
4.02,follower_flash,follower_oscillator,4.0,4.02,-0.02
4.5,leader_flash,synthetic,4.5,,
4.52,follower_flash,follower_oscillator,4.5,4.52,-0.02
5.0,leader_flash,synthetic,5.0,,
5.02,follower_flash,follower_oscillator,5.0,5.02,-0.02
5.5,leader_flash,synthetic,5.5,,
5.52,follower_flash,follower_oscillator,5.5,5.52,-0.02
6.0,leader_flash,synthetic,6.0,,
6.02,follower_flash,follower_oscillator,6.0,6.02,-0.02
6.5,leader_flash,synthetic,6.5,,
6.52,follower_flash,follower_oscillator,6.5,6.52,-0.02
7.0,leader_flash,synthetic,7.0,,
7.02,follower_flash,follower_oscillator,7.0,7.02,-0.02
7.5,leader_flash,synthetic,7.5,,
7.52,follower_flash,follower_oscillator,7.5,7.52,-0.02
8.0,leader_flash,synthetic,8.0,,
8.02,follower_flash,follower_oscillator,8.0,8.02,-0.02
8.5,leader_flash,synthetic,8.5,,
8.52,follower_flash,follower_oscillator,8.5,8.52,-0.02
9.0,leader_flash,synthetic,9.0,,
9.02,follower_flash,follower_oscillator,9.0,9.02,-0.02
9.5,leader_flash,synthetic,9.5,,
9.52,follower_flash,follower_oscillator,9.5,9.52,-0.02
10.0,leader_flash,synthetic,10.0,,
10.02,follower_flash,follower_oscillator,10.0,10.02,-0.02
10.5,leader_flash,synthetic,10.5,,
10.52,follower_flash,follower_oscillator,10.5,10.52,-0.02
11.0,leader_flash,synthetic,11.0,,
11.02,follower_flash,follower_oscillator,11.0,11.02,-0.02
11.5,leader_flash,synthetic,11.5,,
11.52,follower_flash,follower_oscillator,11.5,11.52,-0.02
12.0,leader_flash,synthetic,12.0,,
12.02,follower_flash,follower_oscillator,12.0,12.02,-0.02
12.5,leader_flash,synthetic,12.5,,
12.52,follower_flash,follower_oscillator,12.5,12.52,-0.02
13.0,leader_flash,synthetic,13.0,,
13.02,follower_flash,follower_oscillator,13.0,13.02,-0.02
13.5,leader_flash,synthetic,13.5,,
13.52,follower_flash,follower_oscillator,13.5,13.52,-0.02
14.0,leader_flash,synthetic,14.0,,
14.02,follower_flash,follower_oscillator,14.0,14.02,-0.02
14.5,leader_flash,synthetic,14.5,,
14.52,follower_flash,follower_oscillator,14.5,14.52,-0.02
15.0,leader_flash,synthetic,15.0,,
15.02,follower_flash,follower_oscillator,15.0,15.02,-0.02
15.5,leader_flash,synthetic,15.5,,
15.52,follower_flash,follower_oscillator,15.5,15.52,-0.02
16.0,leader_flash,synthetic,16.0,,
16.02,follower_flash,follower_oscillator,16.0,16.02,-0.02
16.5,leader_flash,synthetic,16.5,,
16.52,follower_flash,follower_oscillator,16.5,16.52,-0.02
17.0,leader_flash,synthetic,17.0,,
17.02,follower_flash,follower_oscillator,17.0,17.02,-0.02
17.5,leader_flash,synthetic,17.5,,
17.52,follower_flash,follower_oscillator,17.5,17.52,-0.02
18.0,leader_flash,synthetic,18.0,,
18.02,follower_flash,follower_oscillator,18.0,18.02,-0.02
18.5,leader_flash,synthetic,18.5,,
18.52,follower_flash,follower_oscillator,18.5,18.52,-0.02
19.0,leader_flash,synthetic,19.0,,
19.02,follower_flash,follower_oscillator,19.0,19.02,-0.02
19.5,leader_flash,synthetic,19.5,,
19.52,follower_flash,follower_oscillator,19.5,19.52,-0.02
20.0,leader_flash,synthetic,20.0,,
20.02,follower_flash,follower_oscillator,20.0,20.02,-0.02
20.5,leader_flash,synthetic,20.5,,
20.52,follower_flash,follower_oscillator,20.5,20.52,-0.02
21.0,leader_flash,synthetic,21.0,,
21.02,follower_flash,follower_oscillator,21.0,21.02,-0.02
21.5,leader_flash,synthetic,21.5,,
21.52,follower_flash,follower_oscillator,21.5,21.52,-0.02
22.0,leader_flash,synthetic,22.0,,
22.02,follower_flash,follower_oscillator,22.0,22.02,-0.02
22.5,leader_flash,synthetic,22.5,,
22.52,follower_flash,follower_oscillator,22.5,22.52,-0.02
23.0,leader_flash,synthetic,23.0,,
23.02,follower_flash,follower_oscillator,23.0,23.02,-0.02
23.5,leader_flash,synthetic,23.5,,
23.52,follower_flash,follower_oscillator,23.5,23.52,-0.02
24.0,leader_flash,synthetic,24.0,,
24.02,follower_flash,follower_oscillator,24.0,24.02,-0.02
24.5,leader_flash,synthetic,24.5,,
24.52,follower_flash,follower_oscillator,24.5,24.52,-0.02
25.0,leader_flash,synthetic,25.0,,
25.02,follower_flash,follower_oscillator,25.0,25.02,-0.02
25.5,leader_flash,synthetic,25.5,,
25.52,follower_flash,follower_oscillator,25.5,25.52,-0.02
26.0,leader_flash,synthetic,26.0,,
26.02,follower_flash,follower_oscillator,26.0,26.02,-0.02
26.5,leader_flash,synthetic,26.5,,
26.52,follower_flash,follower_oscillator,26.5,26.52,-0.02
27.0,leader_flash,synthetic,27.0,,
27.02,follower_flash,follower_oscillator,27.0,27.02,-0.02
27.5,leader_flash,synthetic,27.5,,
27.52,follower_flash,follower_oscillator,27.5,27.52,-0.02
28.0,leader_flash,synthetic,28.0,,
28.02,follower_flash,follower_oscillator,28.0,28.02,-0.02
28.5,leader_flash,synthetic,28.5,,
28.52,follower_flash,follower_oscillator,28.5,28.52,-0.02
29.0,leader_flash,synthetic,29.0,,
29.02,follower_flash,follower_oscillator,29.0,29.02,-0.02
29.5,leader_flash,synthetic,29.5,,
29.52,follower_flash,follower_oscillator,29.5,29.52,-0.02
